timestamp,open,high,low,close,volume
01.01.2020 00:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 01:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 02:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 03:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 04:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 05:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 06:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 07:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 08:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 09:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 10:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 11:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 12:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 13:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 14:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 15:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 16:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 17:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 18:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 19:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 20:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 21:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 22:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 23:00:00.000,1.12143,1.12218,1.12142,1.12188,1401.66
02.01.2020 00:00:00.000,1.12188,1.1219,1.12157,1.12183,1789.91
02.01.2020 01:00:00.000,1.12182,1.12244,1.1218,1.12209,3132.76
02.01.2020 02:00:00.000,1.1221,1.12245,1.12184,1.12222,2118.97
02.01.2020 03:00:00.000,1.12224,1.12231,1.12124,1.12132,2550.6499
02.01.2020 04:00:00.000,1.12132,1.12143,1.12008,1.12012,2658.7
02.01.2020 05:00:00.000,1.12011,1.12044,1.12009,1.12043,3424.3999
02.01.2020 06:00:00.000,1.12044,1.12077,1.12036,1.12077,3330.3601
02.01.2020 07:00:00.000,1.12078,1.12102,1.12043,1.12098,6752.8501
02.01.2020 08:00:00.000,1.12099,1.12137,1.12051,1.1212,7196.8901
02.01.2020 09:00:00.000,1.12119,1.12141,1.12011,1.1203,6928.9902
02.01.2020 10:00:00.000,1.1203,1.12039,1.11927,1.11982,7231.79
02.01.2020 11:00:00.000,1.11984,1.12021,1.11842,1.11848,8868.1396
02.01.2020 12:00:00.000,1.11847,1.11943,1.11829,1.1193,7013.3198
02.01.2020 13:00:00.000,1.11929,1.1197,1.11896,1.11963,188198.875
02.01.2020 14:00:00.000,1.11963,1.11965,1.117,1.11741,121648.9609
02.01.2020 15:00:00.000,1.11739,1.12023,1.11708,1.12005,42482.7383
02.01.2020 16:00:00.000,1.12006,1.1203,1.11651,1.11661,44095.5898
02.01.2020 17:00:00.000,1.11661,1.11719,1.11635,1.11698,8147.6401
02.01.2020 18:00:00.000,1.11698,1.11723,1.11636,1.11702,6858.7002
02.01.2020 19:00:00.000,1.11702,1.11703,1.11642,1.11663,5628.54
02.01.2020 20:00:00.000,1.11662,1.11715,1.11659,1.11693,3691.01
02.01.2020 21:00:00.000,1.11692,1.11735,1.11689,1.11722,1517.578
02.01.2020 22:00:00.000,1.11722,1.1173,1.11687,1.11713,837.7
02.01.2020 23:00:00.000,1.11712,1.11734,1.11701,1.11708,1114.0601
03.01.2020 00:00:00.000,1.11707,1.1176,1.11698,1.11754,1770.63
03.01.2020 01:00:00.000,1.11753,1.11784,1.11722,1.11735,3335.47
03.01.2020 02:00:00.000,1.11735,1.11774,1.11718,1.11725,6198.96
03.01.2020 03:00:00.000,1.11725,1.11736,1.11695,1.1172,3515.53
03.01.2020 04:00:00.000,1.1172,1.11749,1.11685,1.117,2752.53
03.01.2020 05:00:00.000,1.117,1.11706,1.11643,1.11663,4027.49
03.01.2020 06:00:00.000,1.11663,1.11695,1.11638,1.11691,2995.73
03.01.2020 07:00:00.000,1.11691,1.11715,1.11521,1.11532,9234.2197
03.01.2020 08:00:00.000,1.11531,1.11604,1.11505,1.11512,12276.4805
03.01.2020 09:00:00.000,1.11512,1.11522,1.114,1.11401,11537.6104
03.01.2020 10:00:00.000,1.114,1.11433,1.11307,1.1136,10708.9404
03.01.2020 11:00:00.000,1.11361,1.11361,1.11249,1.113,9108.3896
03.01.2020 12:00:00.000,1.113,1.11426,1.11281,1.11391,8111.21
03.01.2020 13:00:00.000,1.11392,1.11488,1.11373,1.11381,10360.5303
03.01.2020 14:00:00.000,1.1138,1.11541,1.11353,1.11522,11179.8799
03.01.2020 15:00:00.000,1.11525,1.11674,1.11525,1.11633,13278.6201
